id,display_name,description,field,domain,works_count,cited_by_count
subfields/2712,"Endocrinology, Diabetes and Metabolism","medical specialty focusing on the endocrine system, its diseases, and their treatment, including diabetes management and metabolic disorders affecting hormone balance and body function",Medicine,Health Sciences,1474061,21311728
subfields/1407,Organizational Behavior and Human Resource Management,study of human behavior in organizational settings,"Business, Management and Accounting",Social Sciences,1465807,13029096
subfields/3205,Experimental and Cognitive Psychology,subdiscipline of psychology,Psychology,Social Sciences,1458720,18480777
subfields/1911,Paleontology,scientific study of the past of life on Earth through fossils,Earth and Planetary Sciences,Physical Sciences,1458253,6077514
subfields/2302,Ecological Modeling,computational or theoretical approach to ecology,Environmental Science,Physical Sciences,1455946,2756825
subfields/1213,Visual Arts and Performing Arts,an expansive category encompassing creative disciplines that engage the senses and express human creativity and imagination,Arts and Humanities,Social Sciences,1449049,2226240
subfields/2734,Pathology and Forensic Medicine,study and diagnosis of disease,Medicine,Health Sciences,1431297,19494782
subfields/1802,Information Systems and Management,book,Decision Sciences,Social Sciences,1429286,5472355
subfields/1910,Oceanography,branch of Earth science that studies the ocean,Earth and Planetary Sciences,Physical Sciences,1417071,12724708
subfields/2305,Environmental Engineering,professional engineering discipline related to environmental science,Environmental Science,Physical Sciences,1415979,12578791
subfields/2003,Finance,"academic discipline studying businesses, financing, investments and protection of economic value","Economics, Econometrics and Finance",Social Sciences,1397422,11939438
subfields/3104,Condensed Matter Physics,branch of physics dealing with a property of matter,Physics and Astronomy,Physical Sciences,1395800,11756093
subfields/2215,Building and Construction,former West German trade union (1949–1995),Engineering,Physical Sciences,1379567,9961160
subfields/2743,Reproductive Medicine,"medicine dealing with prevention, diagnosis and management of reproductive problems",Medicine,Health Sciences,1370170,8494699
subfields/2728,Neurology,medical specialty dealing with disorders of the nervous system,Medicine,Health Sciences,1361756,17559842
subfields/3204,Developmental and Educational Psychology,scientific study of changes that occur in human beings over the course of their lives,Psychology,Social Sciences,1341482,15057482
subfields/3322,Urban Studies,interdisciplinary field that examines the development and dynamics of cities and urban spaces,Social Sciences,Social Sciences,1336768,3155664
subfields/2738,Psychiatry and Mental health,"branch of medicine devoted to the study, diagnosis, treatment, and prevention of mental disorders",Medicine,Health Sciences,1324779,20545047
